loc,wmc,rfc,cbo,lcom,code_churn,num_developers,past_defects,defects
444,10,10,6,0.814182646484471,8,4,2,0
207,9,12,6,0.4055927302083334,5,3,1,0
532,20,7,3,0.48992361376959437,19,5,0,0
1521,5,12,16,0.2646252679528317,14,1,4,1
184,8,15,4,0.5115067523465978,6,5,5,0
184,12,1,1,0.7667313906173336,5,5,3,0
1627,31,9,7,0.9061827155005169,22,5,3,0
614,20,7,5,0.9705296007351493,7,2,1,0
139,13,42,12,0.426723924601364,10,6,0,0
469,9,18,4,0.9900338587684592,0,2,4,0
140,37,6,10,0.2949557117226813,10,4,0,0
139,12,9,8,0.006975935285060131,2,1,6,0
327,8,11,13,0.7676170438976347,0,1,1,0
24,41,8,7,0.17843564854119864,15,3,2,0
30,5,19,3,0.05245483812386287,9,1,1,0
124,26,37,8,0.9240089225976987,4,5,3,0
72,13,1,2,0.7918108304969869,4,8,2,0
356,20,10,0,0.1026648015382563,1,4,2,0
82,18,49,3,0.7769101523843331,0,3,2,0
44,20,10,14,0.8439996974269963,3,3,0,0
1420,43,16,21,0.905301665182571,1,2,2,0
186,40,1,1,0.54369406746636,4,2,1,0
265,8,32,12,0.703412070528096,14,8,4,0
44,17,5,19,0.762239278961011,0,3,2,0
127,3,18,2,0.6886389351561069,0,1,2,0
279,21,6,16,0.6468336203055937,18,4,0,0
61,24,1,2,0.5475592527778836,10,4,2,0
384,2,17,6,0.4791954541955694,0,1,0,0
119,13,22,8,0.9961250195648306,0,1,0,0
172,20,12,2,0.3375607804221564,9,2,2,0
118,16,4,16,0.08826877044454862,3,3,3,0
2259,5,56,6,0.7650369650036276,10,3,3,0
240,6,22,11,0.21382437786949415,4,5,1,0
68,12,15,2,0.5326933596187057,27,3,3,0
656,10,29,22,0.09580151660057068,9,1,2,0
56,10,8,9,0.6192838608167907,0,4,1,0
314,5,45,9,0.9440074039032222,3,4,1,1
23,13,22,8,0.7227047126069578,6,6,5,0
49,31,27,9,0.2145347782266135,1,6,1,0
309,5,10,11,0.9711380452888607,0,6,4,0
593,11,5,4,0.3070869310245482,0,6,3,0
300,18,15,1,0.43661498649135444,5,2,2,1
212,4,9,1,0.4981170203728008,8,3,3,0
170,13,48,6,0.9907187433734728,0,7,1,0
41,23,3,19,0.0688914007191832,8,1,1,0
103,6,34,6,0.6967282944355699,7,4,4,0
140,14,2,14,0.36193087569273585,22,6,2,0
870,22,6,6,0.07832531910243934,14,1,4,0
369,42,2,18,0.9350316576328564,22,3,6,0
29,14,8,9,0.5898583191430653,27,2,2,0
361,8,11,8,0.7535180075887757,4,3,3,0
154,3,7,13,0.24038543557127967,5,4,1,0
108,8,18,9,0.7615409226294236,2,3,1,0
509,4,11,10,0.8284754400232166,5,1,2,0
843,32,1,6,0.43082939721447633,1,3,3,1
748,21,5,8,0.5719564727479653,8,1,2,0
89,6,10,2,0.9718725349295546,0,2,0,0
168,8,28,16,0.8467296417077589,2,5,0,0
364,13,14,16,0.44485006106816427,1,3,3,0
788,23,9,5,0.6645738587558458,22,1,1,0
137,17,3,6,0.784231476802513,1,1,0,0
195,16,15,22,0.024328820578248478,17,3,5,0
64,15,33,5,0.5883659866252704,1,6,2,0
58,6,10,11,0.9845286134127084,8,2,2,0
648,14,6,7,0.9471806498263313,3,1,0,0
1245,13,20,1,0.8324403947624444,3,2,3,0
224,4,29,9,0.1062140931306853,50,4,1,0
815,32,11,15,0.9940414525161517,2,2,3,0
377,9,22,5,0.6095381531379492,1,6,3,0
112,4,9,2,0.2229082494294905,7,9,2,0
377,10,22,12,0.6742686896143166,10,4,0,0
1549,11,34,1,0.8565235620796813,32,3,2,0
234,12,25,1,0.11232776084763585,9,3,4,0
1599,11,19,22,0.9164381432894246,6,6,0,0
10,13,41,14,0.9202042814189951,4,3,2,0
656,14,11,7,0.013464406231317838,7,2,3,0
271,14,19,9,0.9003191216633942,7,1,1,0
170,16,11,3,0.9468179182401563,1,4,1,1
273,17,19,7,0.037691796980345194,8,1,1,0
22,17,22,2,0.2941663235080507,1,1,1,0
187,20,26,2,0.3731075068161265,5,4,2,0
375,8,14,12,0.3488904720663901,2,1,1,0
1441,8,2,4,0.7590032372701891,3,3,0,0
131,23,11,4,0.358104459223867,7,1,2,0
92,10,21,9,0.9565788098947423,0,2,2,0
134,12,17,3,0.994992625304738,0,2,4,0
733,11,19,5,0.3168188707062466,1,4,1,0
363,41,23,20,0.5088007532065069,1,2,2,0
129,7,5,1,0.5577058403000075,1,3,1,0
453,7,24,18,0.5794028299670617,11,6,3,0
274,13,43,39,0.3742089941952996,4,3,3,0
782,11,10,1,0.16599350195882967,5,1,1,0
105,6,26,2,0.054560541731127676,8,2,3,0
165,12,14,10,0.10634866564983214,10,3,2,0
152,13,18,7,0.9012912375938412,0,3,1,0
42,9,25,3,0.2803750066205071,15,2,2,0
349,12,17,16,0.07682298321104453,35,3,0,0
334,8,9,5,0.6235296995443529,1,7,1,0
246,6,17,8,0.07530715126128529,8,2,1,1
184,10,6,11,0.07005293966902426,0,3,3,0
44,6,3,9,0.6215705058712215,0,6,1,0
147,5,35,6,0.5913952441985306,2,7,3,0
162,3,19,11,0.04147728694996011,14,1,0,0
93,15,22,1,0.4604778344369488,8,5,1,0
201,10,16,14,0.4357683079060346,4,5,1,0
397,23,2,5,0.546689129702555,4,4,1,0
2352,10,34,10,0.7378447104367875,5,4,3,0
301,15,9,6,0.2828000475621941,2,1,1,0
333,8,11,4,0.43278028358381027,16,1,4,0
223,12,31,6,0.792742684360965,6,4,2,0
24,3,6,8,0.9225563904605687,5,2,2,1
237,10,10,9,0.8913229730498781,5,6,2,0
263,7,10,8,0.4776309520940417,21,5,1,0
4702,22,6,3,0.5208657970021019,10,2,2,0
194,14,14,2,0.5291054421521594,1,6,1,1
351,20,6,3,0.8687155697074848,4,1,4,0
234,25,35,5,0.8399395069380008,2,3,3,0
60,9,3,10,0.3115325285453451,34,3,4,0
964,14,4,11,0.16284968942203526,4,7,8,0
603,6,10,4,0.3789745614921016,0,5,2,0
632,16,13,6,0.28840638324940115,4,1,1,0
82,17,7,1,0.9507807248149095,3,5,2,0
1317,15,23,5,0.2659156794386516,7,4,2,0
45,9,11,4,0.18120668172693555,2,2,2,0
494,33,20,3,0.8994790625592155,0,5,3,0
